,owner,selfemp,dependents,card
859,no,no,1,positive
473,yes,no,0,positive
573,no,no,0,positive
926,no,no,0,positive
240,yes,no,3,positive
924,yes,no,0,positive
1068,no,no,0,positive
697,yes,no,0,positive
69,no,no,0,positive
567,no,no,0,positive
676,yes,no,0,positive
810,no,no,2,positive
931,no,no,0,negative
179,no,no,1,positive
660,yes,no,3,positive
436,no,no,3,positive
627,no,no,0,positive
1079,yes,no,2,positive
1230,yes,no,4,positive
875,no,no,0,negative
956,yes,no,6,positive
160,no,no,0,positive
191,yes,no,1,positive
701,yes,yes,0,negative
994,yes,no,2,positive
1173,yes,no,0,positive
740,no,no,0,negative
1109,no,no,1,positive
90,no,no,1,negative
761,yes,no,3,positive
642,no,no,0,positive
1107,no,no,0,positive
782,no,no,0,negative
126,no,no,0,positive
506,yes,no,1,negative
1151,yes,no,3,negative
1141,yes,no,1,positive
715,yes,no,3,positive
305,no,no,2,negative
1142,no,yes,0,negative
465,no,no,0,negative
1217,yes,no,2,positive
829,no,no,1,positive
1045,yes,no,1,positive
60,no,no,0,positive
12,yes,no,1,negative
201,no,no,0,positive
1118,yes,yes,0,negative
1214,no,no,3,negative
669,yes,no,2,positive
486,no,no,0,positive
86,yes,no,3,negative
408,yes,no,0,negative
1229,yes,no,1,positive
111,no,no,1,positive
1077,no,no,0,positive
1227,yes,no,4,positive
118,no,no,2,positive
657,yes,yes,1,positive
1017,yes,no,3,positive
641,yes,no,3,positive
837,no,no,2,positive
84,no,no,2,negative
393,no,no,0,positive
1261,no,no,0,positive
588,no,no,1,positive
1182,yes,no,1,positive
520,yes,yes,1,positive
219,no,no,0,positive
132,no,no,1,positive
558,no,yes,0,positive
135,no,no,3,negative
542,no,no,0,negative
248,no,no,0,positive
793,yes,no,0,positive
951,yes,no,1,positive
1200,yes,no,2,positive
262,no,no,0,negative
1138,yes,no,0,positive
1305,yes,no,3,positive
142,no,no,0,positive
934,no,no,0,positive
216,yes,no,1,positive
8,yes,no,0,positive
495,no,no,0,negative
541,yes,no,0,positive
863,no,no,1,positive
854,no,no,1,negative
801,yes,no,1,positive
277,no,no,0,positive
1301,no,no,1,negative
1204,no,no,0,positive
234,yes,no,1,positive
146,no,no,1,positive
795,no,yes,1,positive
1209,no,no,0,positive
993,no,no,0,positive
780,yes,no,0,positive
397,no,no,0,positive
205,no,no,0,positive
1027,yes,no,1,positive
373,no,no,1,positive
154,no,no,1,positive
606,yes,no,1,negative
864,no,no,0,negative
989,yes,yes,3,positive
1083,no,no,0,positive
19,no,no,0,negative
247,no,yes,0,negative
1039,yes,yes,0,positive
143,no,no,0,negative
432,yes,no,0,positive
181,no,no,0,negative
691,yes,no,1,positive
1028,no,no,2,negative
1086,no,no,0,positive
696,yes,no,1,positive
853,no,no,1,positive
241,yes,no,1,positive
1130,yes,no,3,positive
426,yes,no,2,positive
738,no,no,0,positive
1095,yes,no,2,negative
578,no,no,0,positive
1248,yes,yes,0,positive
911,no,no,0,positive
528,yes,no,0,positive
681,no,no,0,negative
56,no,no,3,positive
497,no,no,0,negative
39,yes,no,4,positive
705,no,no,0,positive
113,yes,no,2,positive
161,no,no,2,positive
856,no,no,3,negative
1304,yes,no,0,positive
231,no,no,1,positive
100,yes,no,0,positive
545,no,no,2,positive
124,yes,no,0,positive
391,no,no,0,positive
30,no,no,0,positive
789,yes,no,3,positive
975,yes,no,3,positive
807,yes,no,0,positive
1278,no,no,3,positive
708,no,no,0,positive
937,no,no,0,positive
131,yes,yes,0,negative
812,no,no,0,positive
1085,yes,no,2,positive
945,yes,no,0,positive
997,yes,no,1,positive
207,no,no,2,negative
95,no,no,0,positive
487,no,no,0,positive
954,yes,no,4,positive
220,no,no,0,positive
185,no,no,2,positive
475,no,no,0,positive
593,no,no,1,positive
493,yes,yes,0,positive
554,yes,no,3,positive
145,yes,yes,3,positive
162,no,no,0,positive
360,yes,yes,0,positive
450,no,no,1,positive
741,no,no,1,negative
110,yes,no,0,positive
55,no,no,0,positive
270,yes,no,0,positive
1300,yes,no,1,negative
1166,no,no,0,positive
1047,no,no,6,positive
712,no,no,0,negative
710,yes,no,1,negative
261,yes,no,4,positive
1046,no,no,0,positive
668,no,no,2,negative
336,no,no,0,negative
164,yes,no,0,negative
422,no,no,2,negative
871,no,no,0,positive
117,no,no,0,positive
913,no,no,3,positive
1181,yes,no,0,positive
1232,yes,no,3,positive
959,yes,no,0,positive
1022,no,no,3,positive
737,no,no,1,positive
485,no,no,2,negative
944,no,no,0,negative
873,no,no,0,positive
1069,yes,no,4,positive
195,no,no,0,negative
294,no,no,1,positive
974,yes,no,4,positive
168,yes,no,0,positive
353,no,no,0,negative
1126,no,no,3,negative
347,no,no,0,negative
362,no,no,2,positive
1075,yes,no,2,positive
1061,yes,no,0,positive
203,no,no,2,positive
369,no,no,0,negative
772,yes,no,0,positive
670,yes,no,2,positive
888,no,no,0,positive
526,no,no,0,positive
1284,yes,no,1,positive
1002,yes,no,1,positive
702,yes,no,3,positive
1066,yes,yes,0,positive
489,yes,no,3,positive
1135,yes,no,3,negative
377,no,yes,1,negative
121,no,no,0,positive
437,no,no,4,positive
460,no,no,0,positive
237,no,no,0,positive
868,no,no,0,positive
1117,yes,no,0,positive
282,no,no,2,positive
1269,no,no,0,positive
1183,yes,yes,1,negative
1147,yes,no,4,positive
525,yes,no,2,positive
374,yes,no,1,positive
620,yes,yes,1,positive
346,no,no,0,positive
562,no,no,1,positive
731,yes,no,3,positive
559,yes,no,0,positive
747,no,no,1,positive
848,yes,no,0,positive
1210,yes,no,3,positive
707,no,no,0,positive
7,yes,no,0,positive
199,no,yes,0,positive
1089,no,no,0,positive
389,no,no,0,positive
1198,no,no,0,positive
1220,yes,no,1,positive
1280,no,no,0,positive
938,no,no,0,positive
898,no,no,1,positive
1318,yes,no,2,positive
70,yes,no,2,positive
1170,no,no,0,positive
390,no,no,1,positive
986,no,no,0,negative
844,no,no,1,positive
116,yes,no,3,positive
839,no,no,0,positive
1062,no,no,1,positive
28,yes,no,1,negative
378,yes,no,2,positive
102,no,no,0,negative
536,yes,no,1,positive
58,no,no,2,negative
675,yes,no,1,positive
289,no,no,0,positive
123,yes,no,0,positive
233,yes,no,2,positive
134,no,no,0,positive
500,yes,no,1,positive
483,no,no,0,positive
1003,no,no,0,positive
327,no,no,1,negative
1011,yes,no,2,positive
451,yes,no,0,positive
26,no,yes,1,negative
281,yes,no,4,positive
579,no,no,0,positive
1201,no,no,0,positive
399,no,no,0,positive
91,yes,no,5,negative
1102,no,no,0,negative
694,yes,no,0,positive
287,no,no,0,positive
1279,yes,no,2,positive
190,no,no,0,positive
1237,yes,no,2,negative
773,yes,yes,2,positive
840,no,yes,2,negative
662,yes,no,2,negative
516,yes,no,0,positive
565,yes,no,0,positive
647,no,no,1,negative
755,no,no,0,positive
586,no,no,0,positive
300,no,no,0,positive
819,yes,no,4,positive
1275,yes,no,3,positive
805,yes,no,0,positive
1076,no,no,0,positive
1288,no,no,1,positive
682,yes,no,2,negative
1111,yes,no,2,positive
979,yes,no,0,positive
527,yes,no,2,negative
1167,no,no,0,positive
667,yes,no,3,positive
92,no,no,0,positive
581,no,no,0,positive
1289,no,no,1,positive
1306,no,no,0,positive
530,yes,no,1,positive
902,no,no,0,positive
1223,no,no,1,positive
645,no,no,0,positive
1006,yes,no,5,positive
324,yes,no,2,negative
298,yes,no,0,positive
1272,no,no,2,positive
363,yes,no,1,positive
387,no,no,0,positive
728,yes,no,1,positive
619,no,no,1,positive
1007,yes,no,1,positive
1106,no,no,1,positive
584,no,no,0,positive
1155,no,no,0,positive
87,yes,no,2,negative
532,no,no,0,positive
427,yes,no,2,positive
1252,yes,no,2,negative
173,yes,no,0,positive
832,no,no,0,positive
1264,no,no,0,positive
928,no,no,0,positive
955,yes,no,2,positive
